tiempo, mV
1.258,-0.0355831424052829
1.26,-0.0752671151375476
1.262,-0.0832079691392199
1.264,-0.094462793266922
1.266,-0.0949272546508776
1.268,-0.08557913894251
1.27,-0.0640211303259032
1.272,-0.0552160793057296
1.274,-0.0587389179709358
1.276,-0.0440392652366729
1.278,-0.0685683709659663
1.28,-0.0620633909777095
1.282,-0.0546478156931766
1.284,-0.0370436142309353
1.286,-0.0227536313134923
1.288,-0.0137150088966708
1.29,-0.00175570504584857
1.292,0.00224431869054842
1.294,0.00104509292459623
1.296,0.00184757499068988
1.298,0.00247606842635281
1.3,0.00499999999999929
1.302,0.0175239315736461
1.304,0.01815242500931
1.306,0.0139549070754042
1.308,0.00275568130945256
1.31,-0.00824429495415056
1.312,-0.00628499110332907
1.314,0.017753631313492
1.316,0.0470436142309342
1.318,0.0596478156931759
1.32,0.0470633909777089
1.322,0.0385683709659673
1.324,0.0240392652366744
1.326,-0.00626108202906267
1.328,-0.00978392069426973
1.33,-0.00597886967409709
1.332,0.00557913894250858
1.334,0.00992725465087624
1.336,0.0344627932669207
1.338,0.0182079691392205
1.34,-0.024732884862452
1.342,-0.0494168575947159
1.344,-0.082440987793978
1.346,-0.106193278969471
1.348,-0.0926987431019052
1.35,-0.0750000000000011
1.352,-0.0603435175499013
1.354,-0.0561674008055278
1.356,-0.0460704222977202
1.358,-0.0779438221802813
1.36,-0.0902671151375469
1.362,-0.100847289364222
1.364,-0.100951383175223
1.366,-0.08756657487588
1.368,-0.0675368782907041
1.37,-0.0640211303259031
1.372,-0.0671738186539236
1.374,-0.0813782381959381
1.376,-0.100527855144973
1.378,-0.116207691190968
1.38,-0.13706339097771
1.382,-0.137008495468176
1.384,-0.120555024322635
1.386,-0.130114311088492
1.388,-0.116757269548477
1.39,-0.111755705045849
1.392,-0.100797941961256
1.394,-0.0913155868504009
1.396,-0.0866638351010101
1.398,-0.0798846113486474
1.4,-0.0600000000000026
1.402,-0.0601153886513565
1.404,-0.0433361648989915
1.406,-0.0536844131495976
1.408,-0.0592020580387412
1.41,-0.0482442949541487
1.412,-0.048242730451523
1.414,-0.0398856889115103
1.416,-0.0344449756773699
1.418,-0.0429915045318275
1.42,-0.0479366090222913
1.422,-0.0637923088090297
1.424,-0.104472144855023
1.426,-0.13862176180406
1.428,-0.132826181346075
1.43,-0.105978869674097
1.432,-0.0374631217092977
1.434,0.0425665748758763
1.436,0.110951383175221
1.438,0.165847289364223
1.44,0.205267115137551
1.442,0.247943822180284
1.444,0.286070422297722
1.446,0.396167400805528
1.448,0.5253435175499
1.45,0.659999999999999
1.452,0.717698743101903
1.454,0.68619327896947
1.456,0.627440987793979
1.458,0.544416857594719
1.46,0.449732884862453
1.462,0.33679203086078
1.464,0.245537206733078
1.466,0.140072745349122
1.468,0.0394208610574896
1.47,-0.0690211303259038
1.472,-0.15521607930573
1.474,-0.203738917970935
1.476,-0.204039265236672
1.478,-0.188568370965966
1.48,-0.17206339097771
1.482,-0.149647815693179
1.484,-0.102043614230936
1.486,-0.0477536313134929
1.488,-0.0437150088966704
1.49,-0.0217557050458481
1.492,-0.037755681309451
1.494,-0.0589549070754024
1.496,-0.0581524250093108
1.498,-0.0525239315736478
1.5,-0.0650000000000026
1.502,-0.0574760684263545
1.504,-0.0618475749906897
1.506,-0.0610450929245963
1.508,-0.0672443186905467
1.51,-0.0682442949541501
1.512,-0.0612849911033293
1.514,-0.0322463686865086
1.516,-0.0279563857690668
1.518,-0.00535218430682352
1.52,0.00206339097770878
1.522,0.00356837096596711
1.524,0.00403926523667406
1.526,-0.0112610820290623
1.528,0.000216079305730692
1.53,0.00402113032590307
1.532,0.0205791389425082
1.534,0.0449272546508759
1.536,0.0344627932669209
1.538,0.00820796913922052
1.54,-0.014732884862451
1.542,-0.0444168575947165
1.544,-0.0624409877939772
1.546,-0.0811932789694702
1.548,-0.0576987431019047
1.55,-0.0450000000000012
1.552,-0.0303435175499019
1.554,-0.0161674008055277
1.556,-0.0210704222977197
1.558,-0.042943822180281
1.56,-0.0652671151375481
1.562,-0.0658472893642222
1.564,-0.0559513831752224
1.566,-0.0375665748758786
1.568,-0.00253687829070437
1.57,0.0209788696740967
1.572,0.0228261813460757
1.574,0.00862176180406278
1.576,-0.0205278551449748
1.578,-0.0462076911909694
1.58,-0.0670633909777096
1.582,-0.0620084954681749
1.584,-0.0505550243226328
1.586,-0.0201143110884913
1.588,-0.0117572695484768
1.59,-0.00675570504584944
1.592,0.00420205803874352
1.594,0.013684413149599
1.596,0.0233361648989911
1.598,0.0251153886513544
1.6,0.0399999999999997
1.602,0.0698846113486453
1.604,0.0816638351010097
1.606,0.0913155868504023
1.608,0.0857979419612579
1.61,0.0917557050458504
1.612,0.0917572695484769
1.614,0.10011431108849
1.616,0.105555024322632
1.618,0.117008495468173
1.62,0.122063390977709
1.622,0.116207691190969
1.624,0.110527855144975
1.626,0.0963782381959405
1.628,0.102173818653925
1.63,0.114021130325902
1.632,0.132536878290702
1.634,0.152566574875878
1.636,0.175951383175221
1.638,0.180847289364223
1.64,0.185267115137549
1.642,0.157943822180285
1.644,0.141070422297722
1.646,0.146167400805528
1.648,0.1803435175499
1.65,0.194999999999999
1.652,0.217698743101904
1.654,0.226193278969471
1.656,0.21744098779398
1.658,0.179416857594718
1.66,0.164732884862454
1.662,0.14679203086078
1.664,0.135537206733079
1.666,0.155072745349121
1.668,0.179420861057489
1.67,0.195978869674097
1.672,0.189783920694271
1.674,0.191261082029065
1.676,0.165960734763326
1.678,0.161431629034034
1.68,0.14793660902229
1.682,0.160352184306823
1.684,0.172956385769063
1.686,0.192246368686506
1.688,0.216284991103329
1.69,0.213244294954152
1.692,0.21724431869055
1.694,0.216045092924597
1.696,0.186847574990689
1.698,0.182476068426352
1.7,0.174999999999999
1.702,0.177523931573646
1.704,0.17315242500931
1.706,0.163954907075404
1.708,0.142755681309454
1.71,0.12675570504585
1.712,0.118715008896671
1.714,0.107753631313491
1.716,0.122043614230933
1.718,0.124647815693175
1.72,0.132063390977708
1.722,0.128568370965967
1.724,0.119039265236675
1.726,0.113738917970938
1.728,0.100216079305731
1.73,0.0990211303259029
1.732,0.0955791389425077
1.734,0.0999272546508752
1.736,0.0994627932669213
1.738,0.0732079691392211
1.74,0.0452671151375493
1.742,0.010583142405284
1.744,-0.0124409877939769
1.746,-0.0161932789694699
1.748,-0.012698743101905
1.75,-0.0100000000000018
1.752,0.0096564824500977
1.754,0.0038325991944726
1.756,-0.0110704222977196
1.758,-0.0429438221802793
1.76,-0.0552671151375475
1.762,-0.0808472893642219
1.764,-0.0709513831752231
1.766,-0.0475665748758795
1.768,-0.0225368782907049
1.77,-0.00402113032590344
1.772,0.00282618134607618
1.774,-0.0213782381959364
1.776,-0.0555278551449743
1.778,-0.0762076911909692
1.78,-0.0820633909777099
1.782,-0.0770084954681751
1.784,-0.065555024322633
1.786,-0.0551143110884917
1.788,-0.0367572695484767
1.79,-0.0267557050458494
1.792,-0.025797941961256
1.794,-0.0363155868504006
1.796,-0.0366638351010089
1.798,-0.044884611348646
1.8,-0.0150000000000014
1.802,0.00988461134864442
1.804,0.0216638351010092
1.806,0.0213155868504027
1.808,0.0207979419612578
1.81,0.0117557050458509
1.812,0.026757269548477
1.814,0.0451143110884897
1.816,0.0355550243226312
1.818,0.0420084954681731
1.82,0.0370633909777095
1.822,0.0212076911909691
1.824,0.00552785514497561
1.826,0.00137823819593853
1.828,0.00217381865392487
1.83,0.0090211303259027
1.832,0.0225368782907034
1.834,0.0375665748758771
1.836,0.030951383175222
1.838,0.0308472893642221
1.84,0.000267115137550518
1.842,-0.00205617781971733
1.844,-0.0139295777022788
1.846,-0.0138325991944725
1.848,0.0153435175499008
1.85,0.0349999999999999
1.852,0.0476987431019032
1.854,0.0511932789694702
1.856,0.0124409877939782
1.858,-0.0205831424052825
1.86,-0.0602671151375482
1.862,-0.0882079691392203
1.864,-0.0794627932669221
1.866,-0.0649272546508781
1.868,-0.0405791389425098
1.87,-0.0340211303259036
1.872,-0.0302160793057299
1.874,-0.0337389179709357
1.876,-0.0590392652366729
1.878,-0.0685683709659664
1.88,-0.0770633909777098
1.882,-0.0646478156931777
1.884,-0.0420436142309373
1.886,-0.0127536313134942
1.888,0.0112849911033291
1.89,0.0132442949541524
1.892,0.0122443186905503
1.894,0.00604509292459658
1.896,-0.0181524250093102
1.898,-0.027523931573649
1.9,-0.0200000000000019
1.902,-0.0174760684263551
1.904,-0.00684757499069007
1.906,0.00895490707540503
1.908,-0.00224431869054606
1.91,-0.00824429495414909
1.912,-0.00128499110332963
1.914,0.0127536313134902
1.916,0.0220436142309322
1.918,0.0296478156931748
1.92,0.042063390977708
1.922,0.0435683709659672
1.924,0.0440392652366745
1.926,0.043738917970939
1.928,0.0352160793057311
1.93,0.0340211303259029
1.932,0.0355791389425074
1.934,0.0449272546508746
1.936,0.0494627932669209
1.938,0.0382079691392211
1.94,0.0102671151375508
1.942,-0.0144168575947154
1.944,-0.032440987793976
1.946,-0.03619327896947
1.948,-0.0376987431019049
1.95,-0.0250000000000024
1.952,-0.0153435175499027
1.954,-0.0161674008055274
1.956,-0.0360704222977191
1.958,-0.0479438221802796
1.96,-0.0602671151375468
1.962,-0.0758472893642213
1.964,-0.0659513831752233
1.966,-0.04256657487588
1.968,-0.0175368782907057
1.97,-0.00402113032590363
1.972,-0.0121738186539236
1.974,-0.0313782381959358
1.976,-0.060527855144973
1.978,-0.081207691190969
1.98,-0.0920633909777104
1.982,-0.0920084954681757
1.984,-0.0655550243226338
1.986,-0.0501143110884915
1.988,-0.0417572695484767
1.99,-0.0367557050458489
1.992,-0.0407979419612554
1.994,-0.0563155868504013
1.996,-0.0666638351010088
1.998,-0.0548846113486469
2,-0.0450000000000019
2.002,-0.0201153886513582
2.004,-0.00333616489899168
2.006,0.0113155868504034
2.008,0.000797941961258479
2.01,0.00675570504585093
2.012,0.016757269548477
2.014,0.00511431108848841
2.016,0.000555024322630153
2.018,0.0120084954681713
2.02,0.0270633909777091
2.022,0.0162076911909703
2.024,-0.00447214485502391
2.026,-0.00862176180405815
2.028,-0.0178261813460749
2.03,-0.0159788696740978
2.032,0.0025368782907029
2.034,0.0125665748758762
2.036,0.0109513831752217
2.038,0.000847289364223562
2.04,-0.00973288486245043
2.042,-0.0170561778197149
2.044,-0.00892957770227827
2.046,-0.00883259919447133
2.048,0.000343517549900032
2.05,0.0199999999999976
2.052,0.0226987431019033
2.054,0.0161932789694706
2.056,0.00244098779397855
2.058,-0.0255831424052804
2.06,-0.0352671151375473
2.062,-0.0432079691392187
2.064,-0.0344627932669225
2.066,0.0100727453491204
2.068,0.0244208610574899
2.07,0.0459788696740964
2.072,0.0597839206942705
2.074,0.0512610820290665
2.076,0.0309607347633288
2.078,0.026431629034034
2.08,0.0379366090222908
2.082,0.0453521843068216
2.084,0.0829563857690647
2.086,0.107246368686506
2.088,0.12128499110333
2.09,0.128244294954153
2.092,0.122244318690549
2.094,0.116045092924597
2.096,0.126847574990689
2.098,0.142476068426352
2.1,0.144999999999998
2.102,0.147523931573644
2.104,0.16815242500931
2.106,0.178954907075405
2.108,0.182755681309453
2.11,0.176755705045851
2.112,0.163715008896672
2.114,0.16775363131349
2.116,0.182043614230934
2.118,0.214647815693174
2.12,0.227063390977709
2.122,0.223568370965968
2.124,0.229039265236676
2.126,0.218738917970939
2.128,0.21021607930573
2.13,0.204021130325903
2.132,0.205579138942509
2.134,0.204927254650875
2.136,0.19446279326692
2.138,0.168207969139222
2.14,0.150267115137547
2.142,0.115583142405286
2.144,0.0975590122060223
2.146,0.0938067210305304
